info face="Final Frontier"
chars count=91
char id=32    x=4051  y=3790  width=4     height=4     xoffset=-1.500    yoffset=1.500     xadvance=165.500     page=0  chnl=0
char id=33    x=3943  y=3327  width=108   height=451   xoffset=47.000    yoffset=440.500   xadvance=204.000     page=0  chnl=0
char id=34    x=2862  y=3790  width=156   height=184   xoffset=26.313    yoffset=460.875   xadvance=207.813     page=0  chnl=0
char id=35    x=3497  y=2864  width=454   height=463   xoffset=19.813    yoffset=460.875   xadvance=509.125     page=0  chnl=0
char id=36    x=582   y=1553  width=266   height=549   xoffset=-10.938   yoffset=505.500   xadvance=288.688     page=0  chnl=0
char id=37    x=1557  y=1459  width=508   height=479   xoffset=23.063    yoffset=468.938   xadvance=559.500     page=0  chnl=0
char id=38    x=2976  y=1938  width=417   height=450   xoffset=35.688    yoffset=441.188   xadvance=466.125     page=0  chnl=0
char id=39    x=3376  y=3912  width=53    height=184   xoffset=27.563    yoffset=465.688   xadvance=107.875     page=0  chnl=0
char id=40    x=1368  y=2992  width=188   height=463   xoffset=41.500    yoffset=460.875   xadvance=235.688     page=0  chnl=0
char id=41    x=1368  y=2465  width=188   height=463   xoffset=6.563     yoffset=460.875   xadvance=231.750     page=0  chnl=0
char id=42    x=1557  y=3869  width=210   height=227   xoffset=37.563    yoffset=460.875   xadvance=283.500     page=0  chnl=0
char id=43    x=1888  y=980   width=391   height=398   xoffset=35.000    yoffset=396.188   xadvance=459.313     page=0  chnl=0
char id=44    x=3376  y=3790  width=108   height=122   xoffset=39.563    yoffset=69.750    xadvance=204.000     page=0  chnl=0
char id=45    x=2602  y=1290  width=223   height=101   xoffset=19.813    yoffset=204.188   xadvance=262.125     page=0  chnl=0
char id=46    x=2862  y=3974  width=90    height=90    xoffset=57.313    yoffset=74.250    xadvance=203.938     page=0  chnl=0
char id=47    x=0     y=3251  width=227   height=524   xoffset=-30.625   yoffset=460.875   xadvance=183.938     page=0  chnl=0
char id=48    x=2429  y=1459  width=350   height=479   xoffset=28.875    yoffset=468.938   xadvance=407.938     page=0  chnl=0
char id=49    x=454   y=3251  width=111   height=479   xoffset=45.375    yoffset=476.688   xadvance=214.625     page=0  chnl=0
char id=50    x=2279  y=980   width=323   height=471   xoffset=4.313     yoffset=468.938   xadvance=348.813     page=0  chnl=0
char id=51    x=3087  y=980   width=314   height=471   xoffset=9.125     yoffset=468.938   xadvance=355.563     page=0  chnl=0
char id=52    x=2779  y=1459  width=351   height=463   xoffset=16.875    yoffset=460.875   xadvance=387.250     page=0  chnl=0
char id=53    x=3787  y=1459  width=308   height=463   xoffset=2.375     yoffset=460.875   xadvance=343.625     page=0  chnl=0
char id=54    x=1557  y=980   width=331   height=471   xoffset=30.188    yoffset=460.875   xadvance=386.625     page=0  chnl=0
char id=55    x=3790  y=1938  width=301   height=463   xoffset=18.188    yoffset=460.875   xadvance=328.438     page=0  chnl=0
char id=56    x=3130  y=1459  width=326   height=479   xoffset=28.875    yoffset=468.938   xadvance=384.063     page=0  chnl=0
